상품명,색깔,카테고리,RGB,패턴재질,모양,계절,평균평점,스타일,종합점수
[La belle rose]어도러블 리본 꼬임티,멜란지차콜,티셔츠,"115, 115, 115",무지,꼬임,겨울   ,0,러블리,0
[La belle rose]어도러블 리본 꼬임티,모카브라운,티셔츠,"182, 161, 125",무지,꼬임,겨울   ,0,러블리,0
[La belle rose]어도러블 리본 꼬임티,블랙,티셔츠,"0, 0, 0",무지,꼬임,겨울   ,0,러블리,0
[La belle rose]엘리제 스퀘어넥 원피스(벨트set),블랙,미니원피스,"0, 0, 0",무지,스퀘어넥,겨울   ,0,러블리,0
[La belle rose]오브유 셔링 스퀘어티,블랙,티셔츠,"0, 0, 0",무지,셔링,겨울   ,0,러블리,0
[La belle rose]오브유 셔링 스퀘어티,블루,티셔츠,"0, 1, 252",무지,셔링,겨울   ,0,러블리,0
[La belle rose]오브유 셔링 스퀘어티,아이보리,티셔츠,"254, 255, 239",무지,셔링,겨울   ,0,러블리,0
[La belle rose]오브유 셔링 스퀘어티,핑크베이지,티셔츠,"222, 207, 194",무지,셔링,겨울   ,0,러블리,0
[La belle rose]코넛 체크원피스*사이즈 리뉴얼*,레드,롱원피스,"185, 47, 48",체크,브이넥,여름   ,0,러블리,0
[La belle rose]클레어 슬림핏 체크스커트,브라운,미니스커트,"158, 124, 76",체크,핀턱,봄 가을  ,0,러블리,0
[La belle rose]클레어 슬림핏 체크스커트,블랙,미니스커트,"0, 0, 0",체크,핀턱,봄 가을  ,0,러블리,0
[La belle rose]클레어 슬림핏 체크스커트,블랙 ,미니스커트,"0, 0, 0",체크,핀턱,봄 가을  ,0,러블리,0
[La belle rose]클레어 체크 크롭자켓,브라운,자켓,"158, 120, 71",체크,크롭,봄 가을  ,0,러블리,0
[La belle rose]클레어 체크 크롭자켓,블랙,자켓,"0, 0, 0",체크,크롭,봄 가을  ,0,러블리,0
[La belle rose]티코 찰랑 트임티,멜란지그레이,티셔츠,"173, 173, 173",무지,트임,여름   ,0,러블리,-0.07
[La belle rose]티코 찰랑 트임티,블랙,티셔츠,"0, 0, 0",무지,트임,여름   ,0,러블리,-0.07
[La belle rose]티코 찰랑 트임티,아이보리,티셔츠,"254, 255, 239",무지,트임,여름   ,0,러블리,-0.07
[La belle rose]페이먼트 체크원피스,레드,미니원피스,"194, 16, 11",체크,뷔스티에,여름   ,0,러블리,-0.3
[La belle rose]페이먼트 체크원피스,블랙,미니원피스,"0, 0, 0",체크,뷔스티에,여름   ,0,러블리,-0.3
[La belle rose]포포 무지 스모크블라우스,아이보리,블라우스,"254, 255, 239",무지,퍼프,여름   ,0,러블리,-0.4
[La belle rose]프레인 퍼프 스퀘어티,미스티블루,티셔츠,"165, 181, 193",무지,스퀘어넥,봄 여름  ,0,러블리,0.16
[La belle rose]프레인 퍼프 스퀘어티,블랙,티셔츠,"0, 0, 0",무지,스퀘어넥,봄 여름  ,0,러블리,0.16
[La belle rose]프레인 퍼프 스퀘어티,아이보리,티셔츠,"254, 255, 239",무지,스퀘어넥,봄 여름  ,0,러블리,0.16
[La belle rose]프레인 퍼프 스퀘어티,퍼플,티셔츠,"206, 192, 212",무지,스퀘어넥,봄 여름  ,0,러블리,0.16
[La belle rose]프롬 퍼프원피스,블랙,미니원피스,"0, 0, 0",무지,스퀘어넥,여름   ,0,러블리,-0.17
[La belle rose]프롬 퍼프원피스,스카이블루,미니원피스,"145, 197, 223",무지,퍼프,여름   ,0,러블리,-0.17
[La belle rose]프롬 퍼프원피스,퍼플,미니원피스,"204, 166, 208",무지,퍼프,여름   ,0,러블리,-0.17
[울30%]무흐 체크 울스커트,베이지,미니스커트,"221, 219, 200",체크,A라인,겨울   ,0,러블리,0
[울30%]무흐 체크 울스커트,베이지 ,미니스커트,"221, 219, 200",체크,A라인,겨울   ,0,러블리,0
[울50%]베네타 라운드 울자켓,브라운,자켓,"158, 120, 71",무지,라운드넥,겨울   ,0,러블리,0
[울80%]보을 꽈배기 니트베스트,베이지,니트/스웨터,"223, 211, 199",꽈배기,브이넥,겨울   ,0,러블리,0
게더 레이스 크롭나시,그레이,민소매/나시,"169, 169, 169",무지,크롭,여름   ,4.363636364,러블리,0
게더 레이스 크롭나시,블랙,민소매/나시,"0, 0, 0",무지,크롭,여름   ,4.363636364,러블리,0
게더 레이스 크롭나시,아이보리,민소매/나시,"254, 255, 239",무지,크롭,여름   ,4.363636364,러블리,0
겔랑 퍼프블라우스,블랙,블라우스,"0, 0, 0",무지,플레어,여름   ,4.723404255,러블리,0
겔랑 퍼프블라우스,아이보리,블라우스,"254, 255, 239",무지,플레어,여름   ,4.723404255,러블리,0
그리핀 랩 미니스커트,베이지,미니스커트,"221, 219, 200",무지,랩,여름   ,4.923076923,러블리,-0.5
그리핀 랩 미니스커트,애플민트,미니스커트,"176, 220, 206",무지,랩,여름   ,4.923076923,러블리,-0.5
나일 브이 프릴블라우스,핑크,블라우스,"255, 191, 202",무지,프릴,여름   ,4.333333333,러블리,0
노에 꼬임 브이니트,그레이,니트/스웨터,"169, 169, 169",무지,꼬임,겨울   ,5,러블리,0
노에 꼬임 브이니트,크림,니트/스웨터,"243, 229, 196",무지,꼬임,겨울   ,5,러블리,0
노에 꼬임 브이니트,핑크,니트/스웨터,"255, 191, 202",무지,꼬임,겨울   ,5,러블리,0
노이드 썸머 부클가디건,핑크,가디건,"255, 191, 202",골지,트임,여름   ,4.625,러블리,-0.2
뉴어스 여리핏 골지가디건,그레이,가디건,"169, 169, 169",골지,슬림,가을,4.722222222,러블리,0
뉴어스 여리핏 골지가디건,블랙,가디건,"0, 0, 0",골지,슬림,가을   ,4.722222222,러블리,0
뉴이 진주귀걸이,골드,귀걸이,84110188,금속,진주,봄 여름 가을 겨울,4.5,러블리,0
니아 셔링 골지원피스,블랙,미니원피스,"0, 0, 0",골지,셔링,봄 가을  ,4.407407407,러블리,-0.08
니아 셔링 골지원피스,와인,미니원피스,"118, 1, 23",골지,셔링,봄 가을  ,4.407407407,러블리,-0.08
단델리온 캉캉 미니원피스,크림,미니원피스,"244, 243, 237",플라워,주름,봄   ,4.736842105,러블리,0
달다 셔링스커트,레드브라운,미니스커트,"190, 132, 97",무지,셔링, 가을  ,4.68627451,러블리,0
달다 셔링스커트,베이지,미니스커트,"221, 219, 200",무지,셔링, 가을  ,4.68627451,러블리,0
달다 셔링스커트,베이지 ,미니스커트,"221, 219, 200",무지,셔링, 가을  ,4.68627451,러블리,0
달다 셔링스커트,블랙,미니스커트,"0, 0, 0",무지,셔링, 가을  ,4.68627451,러블리,0
달달 헤어슈슈,블랙,헤어 악세서리,"0,0,0",무지,곱창,봄 여름 가을 겨울,4.428571429,러블리,0
달달 헤어슈슈,퍼플,헤어 악세서리,203201223,무지,곱창,봄 여름 가을 겨울,4.428571429,러블리,0
더베리 스퀘어티,베이지,티셔츠,"231, 216, 203",무지,스퀘어넥,봄 여름  ,4.666666667,러블리,0
더베리 스퀘어티,블랙,티셔츠,"0, 0, 0",무지,스퀘어넥,봄 여름  ,4.666666667,러블리,0
더베리 스퀘어티,스카이블루,티셔츠,"184, 214, 229",무지,스퀘어넥,봄 여름  ,4.666666667,러블리,0
더베리 스퀘어티,아이보리,티셔츠,"254, 255, 239",무지,스퀘어넥,봄 여름  ,4.666666667,러블리,0
델링 귀걸이,골드,귀걸이,84110188,금속,메달형,봄 여름 가을 겨울,5,러블리,0
두에니 프릴 블라우스,블랙,블라우스,"0, 0, 0",무지,프릴,봄   ,4.888888889,러블리,0
드밍 플라워 미니원피스,아이보리,미니원피스,"254, 255, 239",플라워,스퀘어넥,   ,5,러블리,0
들리에 오프숄더 꽈배기니트,아이보리,니트/스웨터,"254, 255, 239",꽈배기,오프숄더,   ,4.47826087,러블리,0
디어리 플리츠원피스,차콜,미니원피스,"94, 94, 94",무지,보트넥,봄   ,4.666666667,러블리,-0.01
라이니 배색 하프니트,블랙,니트/스웨터,"0, 0, 0",배색,유넥,봄 여름  ,4.8125,러블리,0
라이언 덤블 후드아노락,베이지,후드,"215, 177, 112",털,브이넥,가을 겨울  ,5,러블리,0
라이언 덤블 후드아노락,아이보리,후드,"254, 255, 239",털,브이넥,가을 겨울  ,5,러블리,0
라일락 플라워 롱스커트,그레이,롱스커트 ,"169, 169, 169",플라워,밴딩,봄 여름  ,4.583333333,러블리,0
라일락 플라워 롱스커트,핑크,롱스커트,192192192,플라워,밴딩,봄 여름  ,4.583333333,러블리,0
람보 꽈배기 루즈핏브이니트,네이비,니트/스웨터,"0, 0, 129",꽈배기,브이넥,가을 겨울  ,4.733333333,러블리,0
람보 꽈배기 루즈핏브이니트,모카,니트/스웨터,"159, 125, 118",꽈배기,브이넥,가을 겨울  ,4.733333333,러블리,0
러바드 플레어 니트원피스,브라운,미니원피스,"155, 133, 71",무지,플레어,겨울   ,4.842105263,러블리,0
러바드 플레어 니트원피스,블랙,미니원피스,"0, 0, 0",무지,플레어,겨울   ,4.842105263,러블리,0
러버블 하트귀걸이,실버,귀걸이,192192192,금속,큐빅,봄 여름 가을 겨울,4,러블리,-0.08
러브미 브이넥니트,블루,니트/스웨터,"37, 84, 163",무지,브이넥,가을   ,4.355263158,러블리,0
러브미 브이넥니트,아이보리,니트/스웨터,"254, 255, 239",무지,브이넥,가을   ,4.355263158,러블리,0
러브미 브이넥니트,카키,니트/스웨터,"135, 163, 125",무지,브이넥,가을   ,4.355263158,러블리,0
러블리 크롭 골지가디건,스카이블루,가디건,"168, 202, 229",골지,크롭,가을   ,4.714285714,러블리,0
러블리 크롭 골지가디건,아이보리,가디건,"254, 255, 239",골지,크롭,가을   ,4.714285714,러블리,0
레이디 퍼프 블라우스,살구핑크,블라우스,"222, 182, 168",무지,퍼프,여름   ,3.916666667,러블리,0
레이디 퍼프 블라우스,스카이블루,블라우스,"171, 189, 203",무지,퍼프,여름   ,3.916666667,러블리,0
레이디 퍼프 블라우스,아이보리,블라우스,"254, 255, 239",무지,퍼프,여름   ,3.916666667,러블리,0
레일라 퍼프 롱원피스,그레이,롱원피스,"169, 169, 169",골지,퍼프,봄 가을  ,4.894736842,러블리,0
레일라 퍼프 롱원피스,아이보리,롱원피스,"254, 255, 239",골지,퍼프,봄 가을  ,4.894736842,러블리,0
레일라 퍼프 롱원피스,핑크,롱원피스,"255, 191, 202",골지,퍼프,봄 가을  ,4.894736842,러블리,0
레일리 셔링 미니스커트,네이비,미니스커트,"32, 42, 82",무지,셔링,봄 여름  ,4.75,러블리,-0.46
레일리 셔링 미니스커트,베이지,미니스커트,"221, 219, 200",무지,셔링,봄 여름  ,4.75,러블리,-0.46
레일리 셔링 미니스커트,퍼플,미니스커트,"211, 191, 217",무지,셔링,봄 여름  ,4.75,러블리,-0.46
로그 리버서블 무스탕,크림,자켓,"244, 243, 237",퍼,리버서블,겨울   ,4.8,러블리,0
로랑 여리핏 하프가디건,그레이,가디건,"169, 169, 169",네트,단추,여름 가을  ,4.833333333,러블리,0
로랑 여리핏 하프가디건,코랄,가디건,"224, 192, 123",네트,단추,여름 가을  ,4.833333333,러블리,0
로맨디 하트목걸이,실버,목걸이,192192192,금속,목걸이,봄 여름 가을 겨울,4.5,러블리,-0.1
로미 플라워 프릴블라우스,아이보리,블라우스,"254, 255, 239",플라워,프릴,봄 여름  ,4.909090909,러블리,0
로스 모헤어 라운드니트,아이보리,니트/스웨터,"254, 255, 239",무지,라운드넥,겨울   ,4.653846154,러블리,0
로스 모헤어 라운드니트,핑크,니트/스웨터,"255, 191, 202",무지,라운드넥,겨울   ,4.653846154,러블리,0
로아인 플라워 롱원피스,라이트퍼플,롱원피스,"216, 192, 223",플라워,퍼프,봄 가을  ,5,러블리,-0.39
로아인 플라워 롱원피스,아이보리,롱원피스,"254, 255, 239",플라워,퍼프,봄 가을  ,5,러블리,-0.39
로우스 플라워 롱원피스,스카이블루,롱원피스,"163, 219, 231",플라워,셔링,봄 가을  ,4.8,러블리,0
로우스 플라워 롱원피스,옐로우,롱원피스,"234, 229, 173",플라워,셔링,봄 가을  ,4.8,러블리,0
로이즈 스퀘어 꽈배기니트,브라운,니트/스웨터,"151, 123, 54",꽈배기,스퀘어넥,겨울   ,4.5,러블리,0
로이즈 스퀘어 꽈배기니트,아이보리,니트/스웨터,"254, 255, 239",꽈배기,스퀘어넥,겨울   ,4.5,러블리,0
로즈니 플라워 캉캉원피스(벨트set),핑크,미니원피스,"255, 191, 202",플라워,셔링,봄   ,5,러블리,-0.09
로즈아 프릴블라우스,아이보리,블라우스,"254, 255, 239",무지,프릴,봄   ,4.710526316,러블리,0
로즈아 프릴블라우스,핑크,블라우스,"255, 191, 202",무지,프릴,봄   ,4.710526316,러블리,0
로진 귀걸이,골드,귀걸이,84110188,금속,메달형,봄 여름 가을 겨울,5,러블리,0
롤리 꽈배기 가디건,그레이,가디건,"169, 169, 169",꽈배기,단추,봄   ,4.698113208,러블리,0
롤리 꽈배기 가디건,옐로우,가디건,"231, 234, 101",꽈배기,단추,봄   ,4.698113208,러블리,0
롤리 꽈배기 가디건,핑크,가디건,"255, 191, 202",꽈배기,단추,봄   ,4.698113208,러블리,0
루션 귀걸이,화이트,귀걸이,255255255,금속,큐빅,봄 여름 가을 겨울,5,러블리,-0.03
루안 헤어핀,브라운,헤어 악세서리,"78,45,4",금속,헤어핀,봄 여름 가을 겨울,4.777777778,러블리,0
루안 헤어핀,아이보리,헤어 악세서리,254255239,금속,헤어핀,봄 여름 가을 겨울,4.777777778,러블리,0
르켄디 카라 크롭골지티,라이트핑크,티셔츠,"235, 198, 185",골지,크롭,여름   ,4.730769231,러블리,-1.79
르켄디 카라 크롭골지티,블랙,티셔츠,"0, 0, 0",골지,크롭,여름   ,4.730769231,러블리,-1.79
르켄디 카라 크롭골지티,화이트,티셔츠,"255, 255, 255",골지,크롭,여름   ,4.730769231,러블리,-1.79
리브 언발 미니스커트,베이지,미니스커트,"221, 219, 200",무지,언발,가을   ,4.43902439,러블리,0
리브 언발 미니스커트,아이보리,미니스커트,"254, 255, 239",무지,언발,가을   ,4.43902439,러블리,0
리브 언발 미니스커트,아이보리 ,미니스커트,"254, 255, 239",무지,언발,가을   ,4.43902439,러블리,0
리어 스퀘어넥 셔링티,그레이,티셔츠,"169, 169, 169",무지,셔링,여름   ,3.919354839,러블리,0
리어 스퀘어넥 셔링티,블랙,티셔츠,"0, 0, 0",무지,셔링,여름   ,3.919354839,러블리,0
리어 스퀘어넥 셔링티,아이보리,티셔츠,"254, 255, 239",무지,셔링,여름   ,3.919354839,러블리,0
마리엘 머메이드 롱원피스,스카이블루,롱원피스,"163, 219, 231",무지,머메이드,봄 여름  ,4.642857143,러블리,0
마리엘 머메이드 롱원피스,아이보리,롱원피스,"254, 255, 239",무지,머메이드,봄 여름  ,4.642857143,러블리,0
마블리 레이스 골지나시,블랙,민소매/나시,"0, 0, 0",레이스,나시,여름   ,4.764705882,러블리,0
마블리 레이스 골지나시,아이보리,민소매/나시,"254, 255, 239",레이스,나시,여름   ,4.764705882,러블리,0
말리아 펀칭 퍼프셔링원피스,아이보리,미니원피스,"254, 255, 239",펀칭,셔링,겨울   ,4.571428571,러블리,0
말리아 펀칭 퍼프셔링원피스,아이보리 ,미니원피스,"254, 255, 239",펀칭,셔링,겨울   ,4.571428571,러블리,0
말리아 펀칭 퍼프셔링원피스,핑크,미니원피스,"255, 191, 202",펀칭,셔링,겨울   ,4.571428571,러블리,0
머핀 니트원피스(벨트set),베이지,미니원피스,"214, 208, 174",무지,브이넥,가을   ,4.692307692,러블리,0
머핀 니트원피스(벨트set),블랙,미니원피스,"0, 0, 0",무지,브이넥,가을   ,4.692307692,러블리,0
머핀 니트원피스(벨트set),스카이블루,미니원피스,"145, 197, 223",무지,브이넥,가을   ,4.692307692,러블리,0
메리엣 볼레로,브라운,가디건,"157, 135, 75",네트,크롭,여름   ,4.612903226,러블리,-0.06
메리엣 볼레로,블랙,가디건,"0, 0, 0",네트,크롭,여름   ,4.612903226,러블리,-0.06
메리엣 볼레로,아이보리,가디건,"254, 255, 239",네트,크롭,여름   ,4.612903226,러블리,-0.06
멜루아 꽈배기 니트,라이트베이지,니트/스웨터,"225, 204, 164",꽈배기,브이넥,겨울   ,4.611111111,러블리,0
멜루아 꽈배기 니트,민트,니트/스웨터,"184, 225, 212",꽈배기,브이넥,겨울   ,4.611111111,러블리,0
멜루아 꽈배기 니트,핑크,니트/스웨터,"255, 191, 202",꽈배기,브이넥,겨울   ,4.611111111,러블리,0
모나크 트렌치 미니원피스(벨트set),크림베이지,미니원피스,"239, 231, 209",무지,퍼프,봄   ,4.518518519,러블리,0
모린 프릴 쉬폰블라우스,스카이블루,블라우스,"171, 189, 203",무지,프릴,여름   ,4.771428571,러블리,-0.55
